1,1914,5.1860
2,1914,5.1780
3,1914,5.1770
4,1914,5.1630
5,1914,5.1540
6,1914,5.1500
7,1914,5.1540
8,1914,5.0800
9,1914,5.1000
10,1914,5.1010
11,1914,5.1970
12,1914,5.2130
1,1915,5.2780
2,1915,5.3920
3,1915,5.3980
4,1915,5.3320
5,1915,5.2900
6,1915,5.3120
7,1915,5.3690
8,1915,5.3470
9,1915,5.3320
10,1915,5.3090
11,1915,5.3400
12,1915,5.2910
1,1916,5.1740
2,1916,5.2260
3,1916,5.2280
4,1916,5.1810
5,1916,5.2080
6,1916,5.2620
7,1916,5.2870
8,1916,5.2960
9,1916,5.3270
10,1916,5.2710
11,1916,5.1890
12,1916,5.0260
1,1917,5.0160
2,1917,5.0020
3,1917,5.0300
4,1917,5.1020
5,1917,5.1000
6,1917,4.9470
7,1917,4.6220
8,1917,4.4520
9,1917,4.7120
10,1917,4.6360
11,1917,4.4020
12,1917,4.3550
1,1918,4.4470
2,1918,4.4690
3,1918,4.3910
4,1918,4.2340
5,1918,4.0820
6,1918,3.9430
7,1918,3.9450
8,1918,4.0810
9,1918,4.4320
10,1918,4.8600
11,1918,4.9420
12,1918,4.8460
1,1919,4.8500
2,1919,4.8690
3,1919,4.8970
4,1919,4.9460
5,1919,5.0290
6,1919,5.3060
7,1919,5.5400
8,1919,5.6260
9,1919,5.5850
10,1919,5.5750
11,1919,5.5030
12,1919,5.3830
1,1920,5.5640
2,1920,6.0370
3,1920,5.9060
4,1920,5.5580
5,1920,5.6410
6,1920,5.4890
7,1920,5.6420
8,1920,5.9940
9,1920,6.1390
10,1920,6.2760
11,1920,6.4270
12,1920,6.4880
1,1921,6.4010
2,1921,6.1080
3,1921,5.8720
4,1921,5.7560
5,1921,5.5940
6,1921,5.8650
7,1921,6.0170
8,1921,5.9380
9,1921,5.8050
10,1921,5.4840
11,1921,5.3070
12,1921,5.1520
1,1922,5.1420
2,1922,5.1160
3,1922,5.1320
4,1922,5.1380
5,1922,5.1930
6,1922,5.2460
7,1922,5.2300
8,1922,5.2470
9,1922,5.3070
10,1922,5.4110
11,1922,5.4210
12,1922,5.2800
1,1923,5.3140
2,1923,5.3130
3,1923,5.3660
4,1923,5.4690
5,1923,5.5370
6,1923,5.5620
7,1923,5.6870
8,1923,5.5270
9,1923,5.5870
10,1923,5.5870
11,1923,5.6870
12,1923,5.7240
1,1924,5.7640
2,1924,5.7490
3,1924,5.7770
4,1924,5.6760
5,1924,5.6290
6,1924,5.6520
7,1924,5.4980
8,1924,5.3040
9,1924,5.2910
10,1924,5.2070
11,1924,5.1830
12,1924,5.1590
1,1925,5.1660
2,1925,5.1900
3,1925,5.1870
4,1925,5.1700
5,1925,5.1660
6,1925,5.1510
7,1925,5.1490
8,1925,5.1510
9,1925,5.1750
10,1925,5.1840
11,1925,5.1870
12,1925,5.1800
1,1926,5.1770
2,1926,5.1910
3,1926,5.1930
4,1926,5.1790
5,1926,5.1680
6,1926,5.1640
7,1926,5.1650
8,1926,5.1740
9,1926,5.1740
10,1926,5.1770
11,1926,5.1850
12,1926,5.1750
1,1927,5.1880
2,1927,5.1980
3,1927,5.1980
4,1927,5.1990
5,1927,5.1990
6,1927,5.1980
7,1927,5.1940
8,1927,5.1870
9,1927,5.1860
10,1927,5.1850
11,1927,5.1850
12,1927,5.1770
1,1928,5.1890
2,1928,5.1970
3,1928,5.1920
4,1928,5.1880
5,1928,5.1880
6,1928,5.1870
7,1928,5.1910
8,1928,5.1940
9,1928,5.1950
10,1928,5.1960
11,1928,5.1940
12,1928,5.1880
1,1929,5.1970
2,1929,5.1990
3,1929,5.1990
4,1929,5.1950
5,1929,5.1930
6,1929,5.1970
7,1929,5.1980
8,1929,5.1980
9,1929,5.1910
10,1929,5.1700
11,1929,5.1560
12,1929,5.1440
1,1930,5.1680
2,1930,5.1820
3,1930,5.1690
4,1930,5.1600
5,1930,5.1660
6,1930,5.1630
7,1930,5.1470
8,1930,5.1420
9,1930,5.1520
10,1930,5.1490
11,1930,5.1580
12,1930,5.1550
1,1931,5.1650
2,1931,5.1820
3,1931,5.1960
4,1931,5.1920
5,1931,5.1840
6,1931,5.1560
7,1931,5.1460
8,1931,5.1310
9,1931,5.1230
10,1931,5.1040
11,1931,5.1360
12,1931,5.1320
1,1932,5.1260
2,1932,5.1270
3,1932,5.1680
4,1932,5.1410
5,1932,5.1110
6,1932,5.1210
7,1932,5.1330
8,1932,5.1380
9,1932,5.1790
10,1932,5.1780
11,1932,5.1930
12,1932,5.1970
1,1933,5.1850
2,1933,5.1610
3,1933,5.1590
4,1933,4.9440
5,1933,4.4110
6,1933,4.2300
7,1933,3.7080
8,1933,3.7660
9,1933,3.4790
10,1933,3.4630
11,1933,3.2250
12,1933,3.2950
1,1934,3.2520
2,1934,3.1430
3,1934,3.0950
4,1934,3.0780
5,1934,3.0710
6,1934,3.0750
7,1934,3.0680
8,1934,3.0320
9,1934,3.0250
10,1934,3.0480
11,1934,3.0770
12,1934,3.0850
1,1935,3.0930
2,1935,3.0890
3,1935,3.0710
4,1935,3.0870
5,1935,3.0920
6,1935,3.0580
7,1935,3.0520
8,1935,3.0550
9,1935,3.0750
10,1935,3.0720
11,1935,3.0800
12,1935,3.0830
1,1936,3.0610
2,1936,3.0260
3,1936,3.0450
4,1936,3.0680
5,1936,3.0880
6,1936,3.0830
7,1936,3.0550
8,1936,3.0670
9,1936,3.0690
10,1936,4.3460
11,1936,4.3500
12,1936,4.3500
